player_pos_x,player_pos_y,role_x,role_y,role_xy
1,1,LEFT,GK,GK
1,2,LEFT,BK,LB
1,3,LEFT,BK,LB
1,4,LEFT,BK,LWB
1,5,LEFT,MF,LM
1,6,LEFT,MF,LM
1,7,LEFT,MF,LM
1,8,LEFT,MF,LM
1,9,LEFT,FW,LW
1,10,LEFT,FW,LW
1,11,LEFT,FW,LW
2,1,LEFT,GK,GK
2,2,LEFT,BK,LB
2,3,LEFT,BK,LB
2,4,LEFT,BK,LWB
2,5,LEFT,MF,LM
2,6,LEFT,MF,LM
2,7,LEFT,MF,LM
2,8,LEFT,MF,LM
2,9,LEFT,FW,LW
2,10,LEFT,FW,LW
2,11,LEFT,FW,LW
3,1,LEFT,GK,GK
3,2,LEFT,BK,LB
3,3,LEFT,BK,LB
3,4,LEFT,BK,LWB
3,5,LEFT,MF,LM
3,6,LEFT,MF,LM
3,7,LEFT,MF,LM
3,8,LEFT,MF,LM
3,9,LEFT,FW,LW
3,10,LEFT,FW,LW
3,11,LEFT,FW,LW
4,1,CENTER,GK,GK
4,2,CENTER,BK,SW
4,3,CENTER,BK,CB
4,4,CENTER,BK,CB
4,5,CENTER,MF,DM
4,6,CENTER,MF,CM
4,7,CENTER,MF,CM
4,8,CENTER,MF,AM
4,9,CENTER,FW,SS
4,10,CENTER,FW,CF
4,11,CENTER,FW,CF
5,1,CENTER,GK,GK
5,2,CENTER,BK,SW
5,3,CENTER,BK,CB
5,4,CENTER,BK,CB
5,5,CENTER,MF,DM
5,6,CENTER,MF,CM
5,7,CENTER,MF,CM
5,8,CENTER,MF,AM
5,9,CENTER,FW,SS
5,10,CENTER,FW,CF
5,11,CENTER,FW,CF
6,1,CENTER,GK,GK
6,2,CENTER,BK,SW
6,3,CENTER,BK,CB
6,4,CENTER,BK,CB
6,5,CENTER,MF,DM
6,6,CENTER,MF,CM
6,7,CENTER,MF,CM
6,8,CENTER,MF,AM
6,9,CENTER,FW,SS
6,10,CENTER,FW,CF
6,11,CENTER,FW,CF
7,1,RIGHT,GK,GK
7,2,RIGHT,BK,RB
7,3,RIGHT,BK,RB
7,4,RIGHT,BK,RWB
7,5,RIGHT,MF,RM
7,6,RIGHT,MF,RM
7,7,RIGHT,MF,RM
7,8,RIGHT,MF,RM
7,9,RIGHT,FW,RW
7,10,RIGHT,FW,RW
7,11,RIGHT,FW,RW
8,1,RIGHT,GK,GK
8,2,RIGHT,BK,RB
8,3,RIGHT,BK,RB
8,4,RIGHT,BK,RWB
8,5,RIGHT,MF,RM
8,6,RIGHT,MF,RM
8,7,RIGHT,MF,RM
8,8,RIGHT,MF,RM
8,9,RIGHT,FW,RW
8,10,RIGHT,FW,RW
8,11,RIGHT,FW,RW
9,1,RIGHT,GK,GK
9,2,RIGHT,BK,RB
9,3,RIGHT,BK,RB
9,4,RIGHT,BK,RWB
9,5,RIGHT,MF,RM
9,6,RIGHT,MF,RM
9,7,RIGHT,MF,RM
9,8,RIGHT,MF,RM
9,9,RIGHT,FW,RW
9,10,RIGHT,FW,RW
9,11,RIGHT,FW,RW
